round_number,rank,team
1,1,Arsenal
1,2,Everton
1,3,West Brom
1,4,Burnley
1,5,Huddersfield
1,6,Man City
1,7,Spurs
1,8,Man Utd
1,9,Watford
1,10,Liverpool
1,11,Southampton
1,12,Swansea
1,13,Leicester
1,14,Chelsea
1,15,Crystal Palace
1,16,Stoke
1,17,Bournemouth
1,18,Brighton
1,19,Newcastle
1,20,West Ham
2,1,Man Utd
2,2,West Brom
2,3,Huddersfield
2,4,Liverpool
2,5,Southampton
2,6,Watford
2,7,Man City
2,8,Everton
2,9,Burnley
2,10,Leicester
2,11,Stoke
2,12,Arsenal
2,13,Spurs
2,14,Chelsea
2,15,Swansea
2,16,Bournemouth
2,17,Brighton
2,18,Crystal Palace
2,19,West Ham
2,20,Newcastle
3,1,Man Utd
3,2,Man City
3,3,Huddersfield
3,4,West Brom
3,5,Liverpool
3,6,Chelsea
3,7,Watford
3,8,Southampton
3,9,Swansea
3,10,Everton
3,11,Stoke
3,12,Spurs
3,13,Burnley
3,14,Newcastle
3,15,Leicester
3,16,Arsenal
3,17,Brighton
3,18,Bournemouth
3,19,Crystal Palace
3,20,West Ham
4,1,Man City
4,2,Man Utd
4,3,Chelsea
4,4,Watford
4,5,Liverpool
4,6,West Brom
4,7,Spurs
4,8,Burnley
4,9,Huddersfield
4,10,Arsenal
4,11,Newcastle
4,12,Southampton
4,13,Stoke
4,14,Brighton
4,15,Everton
4,16,Swansea
4,17,Leicester
4,18,West Ham
4,19,Bournemouth
4,20,Crystal Palace
5,1,Man City
5,2,Man Utd
5,3,Chelsea
5,4,Newcastle
5,5,Southampton
5,6,Huddersfield
5,7,Liverpool
5,8,Watford
5,9,West Brom
5,10,Burnley
5,11,Spurs
5,12,Arsenal
5,13,Stoke
5,14,Swansea
5,15,Brighton
5,16,Leicester
5,17,West Ham
5,18,Everton
5,19,Bournemouth
5,20,Crystal Palace
6,1,Man City
6,2,Man Utd
6,3,Chelsea
6,4,Spurs
6,5,Watford
6,6,Liverpool
6,7,Arsenal
6,8,Burnley
6,9,Huddersfield
6,10,Newcastle
6,11,Southampton
6,12,West Brom
6,13,Everton
6,14,Brighton
6,15,Stoke
6,16,Swansea
6,17,West Ham
6,18,Leicester
6,19,Bournemouth
6,20,Crystal Palace
7,1,Man Utd
7,2,Man City
7,3,Spurs
7,4,Arsenal
7,5,Chelsea
7,6,Burnley
7,7,Liverpool
7,8,Watford
7,9,Newcastle
7,10,Huddersfield
7,11,West Brom
7,12,Stoke
7,13,Southampton
7,14,Brighton
7,15,Everton
7,16,West Ham
7,17,Leicester
7,18,Swansea
7,19,Bournemouth
7,20,Crystal Palace
8,1,Man City
8,2,Man Utd
8,3,Spurs
8,4,Watford
8,5,Liverpool
8,6,Burnley
8,7,Chelsea
8,8,Arsenal
8,9,Newcastle
8,10,West Brom
8,11,Huddersfield
8,12,Southampton
8,13,Swansea
8,14,West Ham
8,15,Stoke
8,16,Brighton
8,17,Everton
8,18,Leicester
8,19,Bournemouth
8,20,Crystal Palace
9,1,Man City
9,2,Man Utd
9,3,Spurs
9,4,Chelsea
9,5,Arsenal
9,6,Watford
9,7,Newcastle
9,8,Burnley
9,9,Liverpool
9,10,Huddersfield
9,11,Southampton
9,12,Brighton
9,13,West Brom
9,14,Leicester
9,15,West Ham
9,16,Stoke
9,17,Swansea
9,18,Everton
9,19,Bournemouth
9,20,Crystal Palace
10,1,Man City
10,2,Man Utd
10,3,Spurs
10,4,Arsenal
10,5,Chelsea
10,6,Liverpool
10,7,Burnley
10,8,Watford
10,9,Newcastle
10,10,Southampton
10,11,Huddersfield
10,12,Brighton
10,13,Leicester
10,14,Stoke
10,15,West Brom
